CPF/CNPJ;;CNPJ OPTANTE
97.546.128/0001-97;;
97.546.023/0001-38;;
97.531.125/0001-80;;
97.478.010/0001-79;;
97.477.780/0001-05;;
97.446.843/0001-58;;
97.442.354/0001-28;;
97.427.652/0001-49;;
95.874.103/0001-97;;
95.871.349/0001-05;;
95.870.069/0001-82;;
95.862.645/0001-40;;
95.847.257/0001-90;;
95.841.730/0001-21;;
95.841.300/0001-00;;
95.834.040/0001-45;;
95.826.210/0001-40;;
95.815.437/0001-90;;
95.809.794/0001-45;;
95.805.149/0001-54;;
95.802.351/0001-22;;
95.795.779/0001-95;;
95.790.390/0001-57;;
95.758.207/0001-36;;
93.998.524/0001-02;;
92.689.173/0047-60;;
92.070.564/0001-19;;
90.970.906/0001-21;;
90.461.179/0001-77;;
89.600.464/0001-42;;
86.910.445/0001-24;;
86.858.164/0001-70;;
86.429.198/0007-34;;
86.365.350/0001-77;;
86.185.063/0001-85;;
86.184.033/0001-54;;
85.406.171/0001-78;;
85.405.538/0001-39;;
85.403.558/0001-70;;
85.400.570/0001-21;;
85.398.642/0001-43;;
85.397.164/0001-57;;
85.392.678/0001-10;;
85.391.324/0001-50;;
85.387.850/0001-47;;
85.383.719/0001-01;;
85.381.903/0001-12;;
85.378.073/0001-74;;
85.373.231/0001-01;;
85.370.161/0001-20;;
85.364.602/0001-80;;
85.350.866/0001-85;;
85.349.595/0001-48;;
85.348.969/0001-00;;
85.348.746/0001-43;;
85.345.668/0001-23;;
85.345.155/0001-12;;
85.340.164/0001-10;;
85.328.474/0001-10;;
85.325.041/0001-00;;
85.300.267/0001-57;;
85.296.234/0001-80;;
85.288.728/0003-85;;
85.288.728/0002-02;;
85.287.480/0001-76;;
85.280.642/0001-44;;
85.280.238/0001-70;;
85.275.493/0001-25;;
85.273.985/0001-81;;
85.256.022/0001-70;;
85.250.728/0001-24;;
85.241.065/0001-81;;
85.232.767/0001-07;;
85.226.611/0001-05;;
85.214.492/0001-70;;
85.211.399/0001-02;;
85.207.512/0001-86;;
85.199.420/0001-00;;
85.198.752/0001-61;;
85.188.381/0001-37;;
85.184.687/0001-15;;
85.184.224/0001-53;;
85.177.525/0001-50;;
85.171.411/0001-00;;
85.169.712/0001-91;;
85.167.096/0001-30;;
85.165.553/0001-57;;
85.159.705/0001-09;;
85.121.101/0001-73;;
85.119.188/0001-44;;
85.114.254/0001-93;;
85.109.031/0001-38;;
84.933.795/0013-14;;
84.933.795/0010-71;;
84.933.795/0007-76;;
84.904.291/0001-32;;
84.683.648/0001-08;;
83.951.475/0001-90;;
83.937.078/0001-64;;
83.935.452/0001-92;;
83.933.259/0001-12;;
83.930.131/0001-03;;
83.900.969/0001-46;;
83.900.902/0001-01;;
83.897.710/0001-93;;
83.896.274/0001-38;;
83.895.417/0001-97;;
83.888.404/0001-90;;
83.888.354/0001-41;;
83.887.893/0001-66;;
83.885.038/0001-16;;
83.882.647/0001-11;;
83.882.456/0001-50;;
83.878.892/0001-55;;
83.876.771/0001-74;;
83.876.672/0001-92;;
83.876.219/0001-86;;
83.876.037/0001-05;;
83.874.818/0001-60;;
83.874.768/0001-11;;
83.874.628/0001-43;;
83.874.586/0001-40;;
83.874.503/0001-13;;
83.874.354/0001-92;;
83.874.123/0001-89;;
83.873.927/0001-63;;
83.873.059/0001-11;;
83.872.978/0001-70;;
83.872.556/0001-03;;
83.872.549/0003-65;;
83.813.543/0001-55;;
83.808.246/0001-11;;
83.806.224/0001-12;;
83.805.986/0001-02;;
83.802.835/0001-92;;
83.801.738/0001-85;;
83.800.912/0001-75;;
83.721.993/0001-18;;
83.720.060/0001-06;;
83.714.600/0001-49;;
83.714.238/0001-06;;
83.714.147/0001-70;;
83.713.735/0001-90;;
83.712.398/0001-16;;
83.709.956/0001-94;;
83.708.727/0002-36;;
83.708.727/0001-55;;
83.708.461/0001-40;;
83.707.836/0001-58;;
83.602.052/0001-65;;
83.601.690/0001-61;;
83.558.205/0001-14;;
83.542.431/0001-07;;
83.512.657/0001-65;;
83.480.145/0001-64;;
83.476.754/0001-40;;
83.472.977/0001-39;;
83.470.286/0001-04;;
83.469.965/0001-55;;
83.469.908/0001-76;;
83.466.045/0001-83;;
83.463.836/0001-50;;
83.461.004/0001-02;;
83.432.401/0001-48;;
83.290.189/0001-21;;
83.284.224/0001-08;;
83.265.884/0001-33;;
83.262.253/0001-60;;
83.257.444/0001-34;;
83.256.248/0012-06;;
83.256.248/0001-45;;
83.203.620/0001-55;;
83.159.798/0001-46;;
83.154.237/0001-54;;
83.151.985/0013-17;;
83.151.985/0004-26;;
83.071.738/0001-77;;
83.068.726/0001-93;;
83.063.842/0001-10;;
83.062.463/0001-05;;
83.053.504/0001-05;;
83.053.033/0001-27;;
83.050.302/0001-00;;
83.049.478/0001-33;;
82.999.160/0001-50;;
82.995.515/0001-33;;
82.990.011/0001-20;;
82.976.002/0001-85;;
82.967.522/0001-21;;
82.951.310/0001-56;;
82.902.230/0001-00;;
82.899.261/0001-50;;
82.899.055/0001-40;;
82.894.114/0001-97;;
82.892.282/0001-43;;
82.889.304/0001-16;;
